context,*p_cons,*p_ant,*p_obstr,*p_lab,*p_cont,*b_cons,*b_obstr,*b_lab,*b_voice,*bʰ_cons,*bʰ_obstr,*bʰ_cont,*bʰ_voice,*bʰ_lab,*bʰ_spread,*bʰ_ant,*t_cons,*t_obstr,*t_cor,*t_cont,*t_distr,*t_spread,*t_ant,*ti_cons,*ti_obstr,*ti_cor,*ti_cont,*ti_distr,*ti_spread,*ti_ant,*ti_high,*d_cons,*d_ant,*d_obstr,*d_cor,*d_voice,*di_cons,*di_obstr,*di_cor,*di_delrel,*di_voice,*di_ant,*dʰ_cons,*dʰ_obstr,*dʰ_cor,*dʰ_cont,*dʰ_voice,*dʰ_spread,*dʰ_ant,*dʰi_cons,*dʰi_obstr,*dʰi_cor,*dʰi_cont,*dʰi_delrel,*dʰi_voice,*dʰi_spread,*dʰi_ant,*ḱ_cons,*ḱ_sibilant,*ḱ_obstr,*ḱ_cor,*ḱ_cont,*ḱ_delrel,*ḱ_distr,*ḱ_ant,*ḱ_high,*ḱ_back,*ḱi_cons,*ḱi_sibilant,*ḱi_obstr,*ḱi_cor,*ḱi_cont,*ḱi_delrel,*ḱi_distr,*ḱi_ant,*ḱi_high,*ḱi_back,*ǵ_distr,*ǵ_cons,*ǵ_sibilant,*ǵ_obstr,*ǵ_cor,*ǵ_cont,*ǵ_delrel,*ǵ_voice,*ǵ_ant,*ǵ_high,*ǵ_back,*ǵi_distr,*ǵi_cons,*ǵi_sibilant,*ǵi_obstr,*ǵi_cor,*ǵi_cont,*ǵi_delrel,*ǵi_voice,*ǵi_ant,*ǵi_high,*ǵi_back,*ǵʰ_distr,*ǵʰ_cons,*ǵʰ_sibilant,*ǵʰ_obstr,*ǵʰ_cor,*ǵʰ_cont,*ǵʰ_delrel,*ǵʰ_voice,*ǵʰ_spread,*ǵʰ_ant,*ǵʰ_high,*ǵʰ_back,*ǵʰi_distr,*ǵʰi_cons,*ǵʰi_sibilant,*ǵʰi_obstr,*ǵʰi_cor,*ǵʰi_cont,*ǵʰi_delrel,*ǵʰi_voice,*ǵʰi_spread,*ǵʰi_ant,*ǵʰi_high,*ǵʰi_back,*k_cons,*k_obstr,*k_cont,*k_spread,*k_high,*k_back,*ki_cons,*ki_sibilant,*ki_obstr,*ki_cor,*ki_cont,*ki_delrel,*ki_distr,*ki_spread,*ki_high,*ki_back,*g_distr,*g_cons,*g_obstr,*g_cor,*g_voice,*g_high,*g_back,*gi_distr,*gi_cons,*gi_sibilant,*gi_obstr,*gi_cor,*gi_cont,*gi_delrel,*gi_voice,*gi_high,*gi_back,*gʰ_cons,*gʰ_obstr,*gʰ_cont,*gʰ_voice,*gʰ_spread,*gʰ_high,*gʰ_back,*gʰi_distr,*gʰi_cons,*gʰi_sibilant,*gʰi_obstr,*gʰi_cor,*gʰi_cont,*gʰi_delrel,*gʰi_voice,*gʰi_spread,*gʰi_high,*gʰi_back,*kʷ_cons,*kʷ_obstr,*kʷ_cont,*kʷ_lab,*kʷ_spread,*kʷ_high,*kʷ_back,*kʷi_cons,*kʷi_sibilant,*kʷi_obstr,*kʷi_cor,*kʷi_cont,*kʷi_delrel,*kʷi_distr,*kʷi_lab,*kʷi_spread,*kʷi_ant,*kʷi_high,*kʷi_back,*gʷ_cons,*gʷ_obstr,*gʷ_cont,*gʷ_voice,*gʷ_lab,*gʷ_high,*gʷ_back,*gʷi_distr,*gʷi_cons,*gʷi_sibilant,*gʷi_obstr,*gʷi_cor,*gʷi_cont,*gʷi_delrel,*gʷi_voice,*gʷi_lab,*gʷi_ant,*gʷi_high,*gʷi_back,*gʷʰ_cons,*gʷʰ_obstr,*gʷʰ_cont,*gʷʰ_voice,*gʷʰ_lab,*gʷʰ_spread,*gʷʰ_ant,*gʷʰ_high,*gʷʰ_back,*gʷʰi_distr,*gʷʰi_cons,*gʷʰi_sibilant,*gʷʰi_obstr,*gʷʰi_cor,*gʷʰi_cont,*gʷʰi_delrel,*gʷʰi_voice,*gʷʰi_lab,*gʷʰi_spread,*gʷʰi_ant,*gʷʰi_high,*gʷʰi_back,*s_cons,*s_sibilant,*s_obstr,*s_cor,*s_cont,*s_distr,*s_ant,*si_cons,*si_sibilant,*si_obstr,*si_cor,*si_cont,*si_distr,*si_ant,*i̯_distr,*i̯_cons,*i̯_syll,*i̯_obstr,*i̯_cor,*i̯_cont,*i̯_voice,*i̯_front,*i̯_lab,*i̯_tense,*i̯_high,*u̯_cons,*u̯_obstr,*u̯_cont,*u̯_voice,*u̯_ant,*u̯_high,*u̯_back,*m_cons,*m_lab,*m_nasal,*m_voice,*n_cons,*n_ant,*n_cor,*n_nasal,*n_voice,*ni_nasal,*ni_voice,*ni_cons,*ni_cor,*ni_distr,*ni_ant,*ni_high,*l_long,*l_lat,*l_vibr,*l_cons,*l_cor,*l_cont,*l_voice,*l_ant,*r_long,*r_vibr,*r_cons,*r_cor,*r_cont,*r_voice,*r_ant,*h₁_cons,*h₁_obstr,*h₁_cont,*h₂_cons,*h₂_obstr,*h₂_cont,*h₃_cons,*h₃_obstr,*h₃_cont
old_irish,F,F,F,F,F,T,T,T,T,T,T,F,T,T,F,F,T,T,T,F,F,F,T,T,T,T,F,F,F,T,F,T,T,T,T,T,T,T,T,F,T,T,T,T,T,F,T,F,T,T,T,T,F,F,T,F,T,T,F,T,F,F,F,F,F,T,T,T,F,T,F,T,F,F,F,T,T,F,T,F,T,F,F,F,T,F,T,T,F,T,F,T,F,F,F,T,F,T,T,F,T,F,T,F,F,F,T,F,F,T,T,F,T,F,T,F,F,F,T,F,F,T,T,T,T,F,F,T,T,T,F,T,F,F,F,F,F,T,T,F,T,T,F,T,T,T,F,T,F,T,F,F,F,T,T,T,T,T,F,T,F,T,T,F,T,F,T,F,F,F,T,F,T,T,T,T,F,F,F,T,T,T,F,T,F,F,F,F,F,F,F,T,T,T,T,F,T,T,F,F,F,T,F,T,F,F,F,T,T,F,F,F,T,T,F,T,F,F,F,T,T,F,T,F,T,F,F,F,T,F,F,F,T,T,T,T,T,T,T,F,T,T,T,T,T,T,F,T,F,F,F,F,F,F,F,F,F,F,F,T,T,T,F,T,F,F,T,T,T,T,T,T,T,T,T,T,T,T,T,F,T,F,F,T,F,T,T,T,T,T,T,T,T,T,T,T,T,F,F,F,F,F,F,F,F,F
latin,T,F,T,T,F,T,T,T,T,T,T,T,F,F,F,T,T,T,T,F,F,F,T,T,T,T,F,F,F,T,F,T,T,T,T,T,T,T,T,F,T,T,T,T,F,T,F,F,T,T,T,F,T,F,F,F,T,T,F,T,F,F,F,F,F,T,T,T,F,T,F,F,F,F,F,T,T,F,T,F,T,F,F,F,T,F,T,T,F,T,F,T,F,F,F,T,F,T,T,F,T,F,T,F,T,F,F,F,F,F,F,F,T,F,T,F,T,F,F,F,F,F,F,T,T,F,F,T,T,T,F,T,F,F,F,F,F,T,T,F,T,T,F,T,T,T,F,T,F,T,F,F,F,T,T,T,T,T,T,F,F,F,F,F,T,F,T,F,T,F,F,F,F,F,T,T,F,T,F,T,T,T,F,T,F,F,F,F,T,F,F,T,T,F,F,T,T,F,T,T,F,F,F,F,F,T,F,T,F,F,T,T,T,T,T,F,F,F,T,F,F,F,T,F,T,F,T,F,F,F,F,T,F,F,T,T,T,T,T,F,T,T,T,T,T,T,F,T,F,F,F,F,T,T,T,F,F,F,T,F,F,T,T,F,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,F,T,F,F,T,F,T,T,T,T,T,T,T,T,T,T,T,T,F,F,F,F,F,F,F,F,F
old_english,T,T,T,F,T,T,T,T,F,T,T,F,T,T,F,F,T,T,T,T,T,F,T,T,T,T,T,T,F,T,F,T,T,T,T,F,T,T,T,F,F,T,T,T,T,F,T,F,T,T,T,T,F,F,T,F,T,T,F,T,F,T,F,F,F,F,F,T,F,T,F,T,F,F,F,F,F,T,T,F,T,T,F,F,F,F,T,F,T,T,F,T,T,F,F,F,F,T,F,F,T,F,T,F,F,F,T,F,F,T,T,F,T,F,T,F,F,F,T,F,F,T,T,T,T,T,F,F,F,T,F,T,F,T,F,F,F,F,F,T,T,T,T,F,T,F,T,T,F,T,T,F,F,F,T,F,T,T,F,T,F,T,T,F,T,F,T,F,F,F,T,F,T,T,T,T,T,T,F,F,F,T,F,T,F,T,F,F,T,F,F,F,F,T,T,F,F,T,T,T,F,T,F,T,F,F,F,F,T,F,T,T,F,F,T,T,F,F,F,T,T,F,F,F,F,F,T,F,T,F,F,F,T,T,T,T,T,T,T,F,T,T,T,T,T,T,F,T,F,F,T,F,F,T,T,T,T,T,T,F,F,T,T,F,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,F,T,F,F,T,F,T,T,T,T,T,T,T,T,T,T,T,T,F,F,F,F,F,F,F,F,F
lithuanian,T,F,T,T,F,T,T,T,T,T,T,F,T,T,F,F,T,T,T,F,F,F,T,T,T,T,F,F,F,T,F,T,T,T,T,T,T,T,T,F,T,T,T,T,T,F,T,F,T,T,T,T,F,F,T,F,T,T,T,T,T,T,F,T,F,F,F,T,T,T,T,T,F,T,F,F,F,T,T,T,T,T,T,F,T,F,F,F,T,T,T,T,T,T,F,T,F,F,F,T,T,T,T,T,T,F,T,F,F,F,F,T,T,T,T,T,T,F,T,F,F,F,F,T,T,F,F,T,T,T,F,T,F,F,F,F,F,T,T,F,T,T,F,T,T,T,F,T,F,T,F,F,F,T,T,T,T,T,F,T,F,T,T,F,T,F,T,F,F,F,T,F,T,T,T,T,F,F,F,T,T,T,F,T,F,F,F,F,F,F,F,T,T,T,T,F,T,F,T,T,F,T,F,T,F,F,F,T,F,F,T,T,T,T,F,T,F,F,F,T,T,F,T,F,T,F,F,F,T,F,F,F,T,T,T,T,T,T,T,F,T,T,T,T,T,T,F,T,F,F,F,F,T,T,T,F,F,F,T,T,F,T,T,T,F,F,T,T,T,T,T,T,T,T,T,T,T,T,T,F,T,F,F,T,F,T,T,T,T,T,T,T,T,T,T,T,T,F,F,F,F,F,F,F,F,F
old_church_slavonic,T,F,T,T,F,T,T,T,T,T,T,F,T,T,F,F,T,T,T,F,F,F,T,T,T,T,F,F,F,T,F,T,T,T,T,T,T,T,T,F,T,T,T,T,T,F,T,F,T,T,T,T,F,F,T,F,T,T,T,T,T,T,F,F,T,F,F,T,T,T,T,T,F,F,T,F,F,F,T,T,T,T,T,F,T,T,F,F,F,T,T,T,T,T,F,T,T,F,F,F,T,T,T,T,T,F,T,F,T,F,F,F,T,T,T,T,T,F,T,F,T,F,F,T,T,F,F,T,T,T,T,T,T,F,T,T,F,F,F,F,T,T,F,T,T,T,T,T,T,T,T,T,F,T,F,F,T,T,F,T,F,T,T,T,T,T,T,T,T,F,T,F,F,F,T,T,F,F,F,T,T,T,T,T,T,F,T,T,F,F,F,F,F,T,T,F,T,F,T,T,T,T,T,T,T,T,F,T,F,F,F,F,T,T,F,T,F,F,F,T,T,T,T,T,T,T,T,F,T,F,F,F,F,F,T,T,T,T,T,F,T,T,T,T,T,T,F,T,F,F,F,F,T,T,T,F,F,F,T,T,T,T,T,T,F,F,T,T,T,T,T,T,T,T,T,T,T,T,T,F,T,F,F,T,F,T,T,T,T,T,T,T,T,T,T,T,T,F,F,F,F,F,F,F,F,F
albanian,T,F,T,T,F,T,T,T,T,T,T,F,T,T,F,F,T,T,T,F,F,F,T,T,T,T,F,F,F,T,F,T,T,T,T,T,T,T,T,F,T,T,T,T,T,F,T,F,T,T,T,T,F,F,T,F,T,T,F,T,T,T,F,T,T,F,F,T,F,T,T,T,F,T,T,F,F,T,T,F,T,T,T,F,T,T,F,F,T,T,F,T,T,T,F,T,T,F,F,F,T,F,T,T,F,F,T,F,T,F,F,F,T,F,T,T,F,F,T,F,T,F,F,T,T,F,F,T,T,T,F,T,T,F,F,T,F,T,F,F,T,T,F,T,T,T,T,T,F,T,T,F,F,T,T,F,T,T,F,T,F,T,T,T,T,F,T,T,F,F,T,F,T,F,T,T,F,F,F,T,T,T,T,T,T,T,F,F,F,F,T,F,F,T,T,F,T,F,T,T,F,T,T,T,T,T,F,T,F,T,F,F,T,T,F,T,F,F,F,T,T,F,T,T,T,T,T,F,T,F,F,T,F,F,T,T,T,T,T,T,F,T,T,T,T,T,T,F,T,T,F,T,T,F,T,F,F,F,T,T,T,T,T,T,F,F,T,T,T,T,T,T,T,T,T,T,T,T,T,F,T,F,F,T,F,T,T,T,T,T,T,T,T,T,T,T,T,F,F,F,F,F,F,F,F,F
greek,T,F,T,T,F,T,T,T,T,T,T,F,F,T,T,F,T,T,T,F,F,F,T,T,T,T,F,F,F,T,F,T,T,T,T,T,T,T,T,F,T,T,T,T,T,F,F,T,T,T,T,T,F,F,F,T,T,T,F,T,F,F,F,F,F,T,T,T,F,T,F,F,F,F,F,T,T,F,T,F,T,F,F,F,T,F,T,T,F,T,F,T,F,F,F,T,F,T,T,F,T,F,T,F,F,F,F,T,F,T,T,F,T,F,T,F,F,F,F,T,F,T,T,T,T,F,F,T,T,T,F,T,F,F,F,F,F,T,T,F,T,T,F,T,T,T,F,T,F,T,F,F,F,T,T,T,T,T,F,F,T,T,T,F,T,F,T,F,F,F,F,T,T,T,T,T,F,T,F,F,F,T,F,T,F,F,F,F,T,F,F,F,F,T,T,F,T,T,F,F,F,T,T,T,T,T,F,T,F,T,F,F,T,T,F,F,T,T,F,F,F,F,T,F,T,F,F,F,F,T,T,F,F,F,T,F,T,F,T,F,F,T,F,T,F,T,F,F,F,T,F,T,F,T,F,F,F,F,F,F,F,F,F,F,F,F,T,T,T,T,T,T,T,T,T,T,T,T,T,F,T,F,F,T,F,T,T,T,T,T,T,T,T,T,T,T,T,F,F,F,F,F,F,F,F,F
armenian,T,F,T,F,T,T,T,T,F,T,T,F,T,T,F,F,T,T,T,F,F,T,T,T,T,T,F,F,T,T,F,T,T,T,T,F,T,T,T,F,F,T,T,T,T,F,T,F,T,T,T,T,F,F,T,F,T,T,T,T,T,T,F,F,T,F,F,T,T,T,T,T,F,F,T,F,F,F,T,F,T,T,F,T,F,T,F,F,F,T,F,T,T,F,T,F,T,F,F,F,T,F,T,T,F,T,T,F,T,F,F,F,T,F,T,T,F,T,T,F,T,F,F,T,T,F,T,T,T,T,F,T,F,F,F,F,T,T,T,F,T,T,F,F,T,T,F,T,F,T,F,F,F,F,T,T,T,T,F,T,F,T,T,F,T,F,T,F,F,F,T,F,T,T,T,T,F,F,T,T,T,T,F,T,F,F,F,F,F,T,F,T,T,T,T,F,F,F,T,T,F,T,F,T,F,F,F,F,F,F,T,T,T,T,F,T,F,F,F,T,T,T,T,T,T,T,F,T,T,F,F,F,F,F,T,F,T,F,T,F,F,T,F,T,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,T,T,F,T,F,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,F,T,F,F,T,F,T,T,T,T,T,T,T,T,T,T,T,T,F,F,F,F,F,F,F,F,F
hittite,T,F,T,T,F,T,T,T,F,T,T,F,F,T,F,F,T,T,T,F,F,F,T,T,T,T,F,F,F,T,F,T,T,T,T,F,T,T,T,F,F,T,T,T,T,F,F,F,T,T,T,T,F,F,F,F,T,T,F,T,F,F,F,F,F,T,T,T,F,T,F,F,F,F,F,T,T,F,T,F,T,F,F,F,F,F,T,T,F,T,F,T,F,F,F,F,F,T,T,F,T,F,T,F,F,F,F,F,F,T,T,F,T,F,T,F,F,F,F,F,F,T,T,T,T,F,F,T,T,T,F,T,F,F,F,F,F,T,T,F,T,T,F,F,T,T,F,T,F,T,F,F,F,F,T,T,T,T,F,F,F,T,T,F,T,F,T,F,F,F,F,F,T,T,T,T,F,T,F,T,T,T,F,T,F,F,F,F,T,F,F,T,T,T,T,F,F,T,T,T,F,T,F,T,F,F,F,F,T,F,T,T,T,T,F,F,T,F,F,T,T,F,T,F,T,F,F,F,F,T,F,F,T,T,T,T,T,T,T,F,T,T,T,T,T,T,F,T,F,F,F,F,T,T,T,F,F,F,T,F,F,T,T,F,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,F,T,F,F,T,F,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T
avestan,T,F,T,T,F,T,T,T,T,T,T,F,T,T,F,F,T,T,T,F,F,F,T,T,T,T,F,F,F,T,F,T,T,T,T,T,T,T,T,F,T,T,T,T,T,F,T,F,T,T,T,T,F,F,T,F,T,T,T,T,T,T,F,F,T,F,F,T,T,T,T,T,F,F,T,F,F,F,T,T,T,T,T,F,T,T,F,F,F,T,T,T,T,T,F,T,T,F,F,F,T,T,T,T,T,F,T,F,T,F,F,F,T,T,T,T,T,F,T,F,T,F,F,T,T,F,F,T,T,T,T,T,T,F,T,T,F,F,F,F,T,T,F,T,T,T,T,T,T,T,T,T,F,T,F,F,T,T,F,T,F,T,T,T,T,T,T,T,F,T,T,F,F,F,T,T,F,F,F,T,T,T,T,T,T,F,T,T,F,F,F,F,F,T,T,F,T,F,T,T,T,T,T,T,T,F,T,T,F,F,F,F,T,T,F,T,F,F,F,T,T,T,T,T,T,T,F,T,T,F,F,F,F,F,T,F,T,F,T,F,F,T,F,T,F,T,F,F,F,F,F,F,T,T,T,F,F,F,T,F,F,T,T,F,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,F,T,F,T,F,T,T,T,T,T,T,T,T,T,T,T,T,T,F,F,F,F,F,F,F,F,F
sanskrit,T,F,T,T,F,T,T,T,T,T,T,F,T,T,T,F,T,T,T,F,F,F,T,T,T,T,F,F,F,T,F,T,T,T,T,T,T,T,T,F,T,T,T,T,T,F,T,T,T,T,T,T,F,F,T,T,T,T,F,T,T,T,T,T,F,F,F,T,F,T,T,T,T,T,F,F,F,T,T,T,T,T,F,T,T,F,F,F,T,T,T,T,T,F,T,T,F,F,F,F,T,F,T,F,T,F,T,F,F,F,F,F,T,F,T,F,T,F,T,F,F,F,F,T,T,F,F,T,T,T,T,T,T,F,T,T,F,F,F,F,T,T,F,T,T,T,T,T,T,T,T,F,T,T,F,F,T,T,F,T,T,T,T,F,T,F,T,F,T,F,T,F,F,F,T,T,F,F,F,T,T,T,T,T,T,F,T,T,F,F,F,F,F,T,T,F,T,F,T,T,T,T,T,T,T,F,T,T,F,F,F,F,T,T,F,T,F,T,F,T,T,F,T,F,T,F,T,F,T,F,F,F,F,F,T,T,T,T,T,F,T,T,T,T,T,T,F,T,F,F,F,F,T,T,T,F,F,F,T,T,F,T,T,T,F,F,T,T,T,T,T,T,T,T,T,T,T,T,T,F,T,F,T,F,T,T,T,T,T,T,T,T,T,T,T,T,T,F,F,F,F,F,F,F,F,F
tocharian_b,T,F,T,T,F,T,T,T,F,T,T,F,F,T,F,F,T,T,T,F,F,F,T,T,T,T,F,T,F,F,T,T,T,T,T,F,T,T,T,T,F,T,T,T,T,F,F,F,T,T,T,T,F,T,F,F,T,T,F,T,F,F,F,F,F,T,T,T,F,T,T,T,T,T,F,F,F,F,T,F,T,F,F,F,F,F,T,T,T,T,F,T,T,T,T,F,F,F,F,F,T,F,T,F,F,F,F,F,F,T,T,T,T,F,T,T,T,T,F,F,F,F,F,T,T,F,F,T,T,T,F,T,T,T,T,T,F,F,F,F,T,T,F,F,T,T,T,T,F,T,T,T,T,F,F,F,T,T,F,F,F,T,T,T,T,F,T,T,T,T,F,F,F,F,T,T,F,F,F,T,T,T,F,T,T,T,T,T,F,F,F,F,F,T,T,F,F,F,T,T,T,T,F,T,T,T,T,F,F,F,F,F,T,T,F,F,F,F,F,T,T,T,T,F,T,T,T,T,F,F,F,F,F,F,T,T,T,T,T,F,T,T,T,T,T,T,F,F,F,F,F,F,T,T,T,F,F,F,T,F,F,T,T,F,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,F,T,F,T,F,T,T,T,T,T,T,T,T,T,T,T,T,F,F,F,F,F,F,F,F,F
